Gledis-server -config=rocksdb.conf
2014/08/29 18:44:16
 %CPU %MEM
 40.8  9.9


2014/08/29 18:44:26
 %CPU %MEM
213.1 10.4


2014/08/29 18:44:37
 %CPU %MEM
 65.2 10.5


2014/08/29 18:44:47
 %CPU %MEM
197.0  9.9


2014/08/29 18:44:57
 %CPU %MEM
193.0  9.6


2014/08/29 18:45:08
 %CPU %MEM
 47.6  9.6


2014/08/29 18:45:21
 %CPU %MEM
 61.1  9.7


2014/08/29 18:45:31
 %CPU %MEM
 71.6  9.8


2014/08/29 18:45:42
 %CPU %MEM
103.2  9.5


2014/08/29 18:45:52
 %CPU %MEM
181.0  9.6


2014/08/29 18:46:02
 %CPU %MEM
 45.7  9.5


2014/08/29 18:46:12
 %CPU %MEM
184.0  9.6


2014/08/29 18:46:23
 %CPU %MEM
 52.8  9.8


2014/08/29 18:46:33
 %CPU %MEM
107.1  9.4


2014/08/29 18:46:43
 %CPU %MEM
 74.9  9.0


2014/08/29 18:46:53
 %CPU %MEM
 64.4  9.1


2014/08/29 18:47:03
 %CPU %MEM
236.1  9.3


2014/08/29 18:47:14
 %CPU %MEM
129.1  9.7


2014/08/29 18:47:24
 %CPU %MEM
 31.6  9.9


2014/08/29 18:47:34
 %CPU %MEM
169.4 10.2


2014/08/29 18:47:44
 %CPU %MEM
 76.5 10.6


2014/08/29 18:47:54
 %CPU %MEM
 95.7  9.4


2014/08/29 18:48:04
 %CPU %MEM
182.8  9.5


2014/08/29 18:48:14
 %CPU %MEM
170.7  9.5


2014/08/29 18:48:24
 %CPU %MEM
116.1  9.7


2014/08/29 18:48:34
 %CPU %MEM
104.3  9.7


2014/08/29 18:48:45
 %CPU %MEM
184.1  9.8


2014/08/29 18:48:55
 %CPU %MEM
182.6  9.8


2014/08/29 18:49:05
 %CPU %MEM
161.3  9.8


2014/08/29 18:49:16
 %CPU %MEM
 77.6  9.8


2014/08/29 18:49:26
 %CPU %MEM
154.5  9.2


2014/08/29 18:49:36
 %CPU %MEM
160.8  9.6


2014/08/29 18:49:46
 %CPU %MEM
186.6  9.6


2014/08/29 18:49:56
 %CPU %MEM
192.1  9.7


2014/08/29 18:50:06
 %CPU %MEM
183.6  9.9


2014/08/29 18:50:16
 %CPU %MEM
 49.9  9.9


2014/08/29 18:50:28
 %CPU %MEM
 52.8  9.9


2014/08/29 18:50:38
 %CPU %MEM
179.3  9.6


2014/08/29 18:50:48
 %CPU %MEM
 30.9  9.8


2014/08/29 18:50:58
 %CPU %MEM
 60.5  9.8


2014/08/29 18:51:08
 %CPU %MEM
178.7  9.4


2014/08/29 18:51:18
 %CPU %MEM
138.5  9.7


2014/08/29 18:51:28
 %CPU %MEM
  9.1  9.8


2014/08/29 18:51:38
 %CPU %MEM
 59.0  9.8


2014/08/29 18:51:48
 %CPU %MEM
170.6  9.6


2014/08/29 18:51:59
 %CPU %MEM
 43.2  9.6


2014/08/29 18:52:10
 %CPU %MEM
 54.4  9.4


2014/08/29 18:52:20
 %CPU %MEM
  6.4  9.4


2014/08/29 18:52:30
 %CPU %MEM
 85.6  9.5


2014/08/29 18:52:40
 %CPU %MEM
185.1  9.7


2014/08/29 18:52:50
 %CPU %MEM
180.8  9.9


2014/08/29 18:53:00
 %CPU %MEM
187.0  9.8


2014/08/29 18:53:10
 %CPU %MEM
189.1  9.8


2014/08/29 18:53:20
 %CPU %MEM
182.1  9.8


2014/08/29 18:53:30
 %CPU %MEM
186.5 10.0


2014/08/29 18:53:40
 %CPU %MEM
190.4 10.0


2014/08/29 18:53:50
 %CPU %MEM
132.3 10.0


2014/08/29 18:54:00
 %CPU %MEM
108.0 10.0


2014/08/29 18:54:10
 %CPU %MEM
191.0 10.0


2014/08/29 18:54:20
 %CPU %MEM
173.5 10.0


2014/08/29 18:54:30
 %CPU %MEM
174.5 10.0


2014/08/29 18:54:40
 %CPU %MEM
  0.2 10.0


2014/08/29 18:54:50
 %CPU %MEM
204.7  9.8


2014/08/29 18:55:00
 %CPU %MEM
159.9  9.8


2014/08/29 18:55:10
 %CPU %MEM
 94.9  9.8


2014/08/29 18:55:20
 %CPU %MEM
 93.9  9.9


2014/08/29 18:55:30
 %CPU %MEM
 74.2  9.7


2014/08/29 18:55:40
 %CPU %MEM
 87.3  9.9


2014/08/29 18:55:50
 %CPU %MEM
101.7 10.0


2014/08/29 18:56:00
 %CPU %MEM
179.9 10.2


2014/08/29 18:56:10
 %CPU %MEM
186.4 10.3


2014/08/29 18:56:20
 %CPU %MEM
185.9 10.1


2014/08/29 18:56:30
 %CPU %MEM
148.7 10.1


2014/08/29 18:56:40
 %CPU %MEM
158.3 10.1


2014/08/29 18:56:50
 %CPU %MEM
 96.9 10.1


2014/08/29 18:57:00
 %CPU %MEM
179.2 10.2


2014/08/29 18:57:11
 %CPU %MEM
188.0 10.2


2014/08/29 18:57:21
 %CPU %MEM
185.3 10.2


2014/08/29 18:57:31
 %CPU %MEM
184.0 10.2


2014/08/29 18:57:41
 %CPU %MEM
177.2 10.2


2014/08/29 18:57:51
 %CPU %MEM
184.7 10.2


2014/08/29 18:58:01
 %CPU %MEM
239.1 10.2


2014/08/29 18:58:11
 %CPU %MEM
 53.3  9.6


2014/08/29 18:58:21
 %CPU %MEM
195.4  9.7


2014/08/29 18:58:31
 %CPU %MEM
 56.6  9.9


2014/08/29 18:58:41
 %CPU %MEM
 23.4 10.1


2014/08/29 18:58:51
 %CPU %MEM
183.0 10.3


2014/08/29 18:59:01
 %CPU %MEM
190.2 10.4


2014/08/29 18:59:11
 %CPU %MEM
190.2 10.3


2014/08/29 18:59:21
 %CPU %MEM
191.5 10.3


2014/08/29 18:59:31
 %CPU %MEM
194.1 10.3


2014/08/29 18:59:41
